Tree,Fcln,Mcln
2007023,894041,887875
894072,.,.
2007024,894072,880729
894120,.,.
2007025,894120,.
880692,268054,.
2007028,880728,880692
2007030,880728,.
2007033,268609,268345
668002,.,.
668005,.,.
668006,.,.
767001,.,.
767003,.,.
767004,.,.
668010,.,.
668011,.,.
668016,.,.
767005,.,.
767006,.,.
767007,.,.
668018,.,.
668019,.,.
767008,.,.
767009,.,.
767011,.,.
668023,.,.
668024,.,.
668026,.,.
767013,.,.
767015,.,.
767016,.,.
668042,.,.
668047,.,.
668049,.,.
767018,.,.
767023,.,.
767024,.,.
668030,.,.
668031,.,.
668039,.,.
767026,.,.
850231,.,.
668056,.,.
668057,.,.
668050,.,.
668051,.,.
668054,.,.
668003,.,.
668004,.,.
668008,.,.
668009,.,.
668017,.,.
668027,.,.
668028,.,.
668029,.,.
668033,.,.
668035,.,.
668036,.,.
668037,.,.
668040,.,.
668043,.,.
668044,.,.
668045,.,.
850235,.,.
850273,.,.
850317,.,.
850371,.,.
850377,.,.
668012,.,.
668013,.,.
668015,.,.
668020,.,.
668025,.,.
668041,.,.
668046,.,.
668048,.,.
668052,.,.
668053,.,.
767014,.,.
767020,.,.
767025,.,.
870501,.,.
870502,.,.
870503,.,.
870504,.,.
870505,.,.
870506,.,.
870507,.,.
870509,.,.
870510,.,.
870511,.,.
870512,.,.
870513,.,.
870514,.,.
870515,.,.
870516,.,.
870517,.,.
870518,.,.
870519,.,.
870520,.,.
870521,.,.
870522,.,.
870523,.,.
870524,.,.
870525,.,.
870526,.,.
870527,.,.
870528,.,.
870529,.,.
870530,.,.
870531,.,.
870532,.,.
870533,.,.
870534,.,.
870535,.,.
870536,.,.
870537,.,.
870539,.,.
870540,.,.
870542,.,.
870543,.,.
870545,.,.
870546,.,.
870547,.,.
870548,.,.
870549,.,.
870550,.,.
870552,.,.
870554,.,.
870555,.,.
870556,.,.
870558,.,.
870559,.,.
870560,.,.
870561,.,.
870562,.,.
870563,.,.
870564,.,.
870565,.,.
870566,.,.
870567,.,.
870574,.,.
870575,.,.
870576,.,.
870577,.,.
870578,.,.
870579,.,.
870580,.,.
870581,.,.
870582,.,.
870583,.,.
870584,.,.
870585,.,.
870587,.,.
870588,.,.
870590,.,.
870591,.,.
870592,.,.
870593,.,.
870594,.,.
870600,.,.
870601,.,.
870602,.,.
870603,.,.
870604,.,.
870605,.,.
870606,.,.
870607,.,.
870610,.,.
870611,.,.
870612,.,.
870568,.,.
870569,.,.
870570,.,.
870571,.,.
870572,.,.
850097,.,.
850111,.,.
850080,.,.
850088,.,.
850477,.,.
850274,.,.
850230,.,.
850228,.,.
850375,.,.
850281,.,.
850171,.,.
850366,.,.
850225,.,.
850370,.,.
850109,.,.
850316,.,.
850246,.,.
850036,.,.
850112,.,.
850237,.,.
850238,.,.
850083,.,.
850278,.,.
850276,.,.
850397,.,.
850226,.,.
850368,.,.
850239,.,.
850318,.,.
850407,.,.
850314,.,.
850221,.,.
850373,.,.
850250,.,.
850092,.,.
850181,.,.
850283,.,.
850114,.,.
850364,.,.
850422,.,.
850396,.,.
850038,.,.
850236,.,.
850245,.,.
850540,.,.
850272,.,.
850365,.,.
850476,.,.
850534,.,.
850374,.,.
850399,.,.
850034,.,.
850277,.,.
850233,.,.
850531,.,.
850222,.,.
850041,.,.
850398,.,.
850369,.,.
850319,.,.
850240,.,.
850116,.,.
850478,.,.
850400,.,.
850086,.,.
850172,.,.
850275,.,.
850393,.,.
850532,.,.
850367,.,.
850113,.,.
850279,.,.
850376,.,.
