Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
3181206,2730,88,28.709023,0.714580296,1.052422331,0.787616658,0.66558784,0.756727164,2.621429721,0.79375752,0.88780697,0.720127072,-4.999613786,0.775621686,2003178,2003179
399172,2728,89,13.0992798,0.820713714,0.904224502,0.830128303,1.217834302,0.83350105,0.666729257,0.887342662,2.245249154,0.833503449,-2.418676636,0.783297517,880618,875054
313523,2727,90,18.36084381,0.866009238,0.809431583,0.905624646,0.638198734,0.888847568,27.1203564,0.939827112,1.281924041,0.913222864,-5.931334737,0.908268683,2004078,2003021
399117,2726,91,22.3973758,0.818417375,0.514663013,0.828738801,0.28778872,0.83069188,23.09808659,0.886384228,1.175862899,0.838179575,-11.43004944,0.891307467,880740,875242
313573,2724,92,32.98310079,0.87401373,0.827846733,0.897438577,0.732257484,0.876254529,0.721399308,0.943507817,0.771932699,0.915851516,-10.82969528,0.906950385,2004023,2003299
2003178,2724,93,29.09462111,0.932667679,0.911128307,0.950417803,0.485222616,0.934850255,3.463446646,0.961382858,0.881831812,0.949301322,-3.006936055,0.896156236,188201,850101
306037,2721,94,28.2494963,0.758588162,1.392673639,0.790687043,0.188721528,0.778460018,5.346016621,0.806107313,0.529734574,0.8033287,NA,NA,887841,268005
399523,2706,95,31.56443154,0.822460333,1.858936319,0.832415762,0.998828739,0.833998201,-15.07736961,0.884076354,0.573478418,0.83032584,0.229458336,0.833358866,268539,268494
3181194,2700,96,32.36695849,0.756411925,1.013161997,0.82992831,0.785564273,0.779372825,-4.71659969,0.829562535,0.787192809,0.740274949,-8.2907144,0.782271692,2003178,2003179
3181197,2697,97,28.98962224,0.71508531,1.006121338,0.785867673,0.669535782,0.754325527,2.897288385,0.796470966,0.85055491,0.719503301,-8.015192022,0.773699554,2003178,2003179
313193,2694,98,17.78373866,0.848916368,1.364254575,0.881035754,0.801281455,0.852988277,24.6711118,0.924547457,1.020079845,0.899722735,-12.99616621,0.871246808,2003400,2004078
399275,2694,99,29.18734782,0.815461219,1.115518721,0.830860397,0.753181464,0.824279079,11.32923171,0.886279866,0.620675032,0.833928054,8.104017364,0.881603085,880740,268532
306059,2693,100,27.52294709,0.760691133,1.128852061,0.793505514,0.822529793,0.780953904,-2.724913738,0.804421531,1.017180996,0.805193765,NA,NA,887806,268005
2003221,2692,101,29.02654605,0.970901643,1.157970846,0.974363895,0.490288546,0.970219047,-7.179373155,0.98005255,0.898872882,0.977166311,-6.718707334,0.971943414,880655,850101
314286,2691,102,25.06828944,0.818672096,0.91053534,0.81655006,0.759084111,0.783728907,18.80752096,0.858504514,0.891023378,0.82369169,-8.834777489,0.854376966,2003327,2004018
399104,2690,103,24.90472653,0.821700067,2.001108078,0.833286265,0.813602818,0.833493251,-0.821644996,0.886016366,0.612234642,0.839075682,-2.901130411,0.906960308,880656,268532
399240,2688,104,27.79252182,0.823663766,1.266836042,0.833600024,1.349888414,0.836159076,2.518521657,0.886159692,0.929417093,0.838865901,-5.678408842,0.852176625,880739,268532
